iter	RMSE
0	595.7404873
1	594.6525428
2	593.3294173
3	592.2570165
4	591.2652747
5	590.365702
6	589.3082811
7	588.4022343
8	587.3973892
9	586.4676053
10	585.2309206
11	584.368841
12	583.407698
13	582.4523379
14	581.585663
15	580.6795929
16	579.5033536
17	578.3562822
18	577.508467
19	576.7963555
20	575.6696185
21	574.8994583
22	574.072599
23	573.2495819
24	572.5327757
25	571.7750023
26	571.0221852
27	570.1377204
28	569.3037415
29	568.6877271
30	567.8683034
31	566.870999
32	566.2238168
33	565.6100643
34	564.7260089
35	564.1486402
36	563.4592352
37	562.742445
38	562.1586312
39	561.2338324
40	560.4698693
41	559.8726111
42	559.2183342
43	558.5967277
44	557.9984561
45	557.5315876
46	557.0350358
47	556.3450283
48	555.8203677
49	555.2430405
50	554.7979182
51	554.0693381
52	553.4977595
53	552.8216796
54	552.2488261
55	551.4513996
56	550.8801965
57	550.1719826
58	549.415644
59	548.9758856
60	548.3331977
61	547.7986313
62	547.2110613
63	546.7290601
64	546.2187909
65	545.856688
66	545.318734
67	544.6905331
68	544.3568489
69	543.8060567
70	543.3035178
71	542.6615593
72	542.1875031
73	541.5779186
74	541.2097563
75	540.7596704
76	540.158524
77	539.7839034
78	539.5002864
79	539.0359725
80	538.6828151
81	538.4099486
82	537.9661667
83	537.581488
84	537.1477493
85	536.6130355
86	536.4597413
87	536.0846727
88	535.6749026
89	535.3234364
90	534.9366602
91	534.422042
92	534.019638
93	533.5249597
94	533.1103332
95	532.7641593
96	532.2563634
97	531.8981721
98	531.4111209
99	531.1404786
