iter	Passed	Remaining
0	2	272
1	4	242
2	6	220
3	8	214
4	11	209
5	13	204
6	15	202
7	17	198
8	19	196
9	21	194
10	23	192
11	25	189
12	27	187
13	29	184
14	32	182
15	34	179
16	36	178
17	38	175
18	40	172
19	42	169
20	44	167
21	46	164
22	48	162
23	50	161
24	53	159
25	55	157
26	57	155
27	59	153
28	61	151
29	63	149
30	65	146
31	67	143
32	69	142
33	71	139
34	73	137
35	76	135
36	78	133
37	80	131
38	82	129
39	84	127
40	86	125
41	89	122
42	91	120
43	93	118
44	95	116
45	97	114
46	99	112
47	101	109
48	103	107
49	105	105
50	107	103
51	110	101
52	112	99
53	114	97
54	116	95
55	118	93
56	121	91
57	123	89
58	125	87
59	127	85
60	130	83
61	132	80
62	134	78
63	136	76
64	139	74
65	141	72
66	143	70
67	145	68
68	147	66
69	149	64
70	152	62
71	154	59
72	156	57
73	158	55
74	160	53
75	162	51
76	164	49
77	166	46
78	168	44
79	170	42
80	172	40
81	174	38
82	176	36
83	178	34
84	181	31
85	183	29
86	185	27
87	187	25
88	189	23
89	191	21
90	193	19
91	195	17
92	197	14
93	199	12
94	201	10
95	204	8
96	206	6
97	208	4
98	210	2
99	212	0
